"time","GEO_ID","NAME","SVY_COMP","SVY_COMP_LABEL","AGG_DESC","AGG_DESC_LABEL","GOVTYPE","GOVTYPE_LABEL","AMOUNT",
"Year","Geographic identifier code","Geographic Area Name","Survey Component","Meaning of Survey Component","Aggregate Description","Meaning of Aggregate Description","Type of Government","Meaning of Type of Government","Amount",
"2013","0400000US06","California","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","38431",
"2014","0400000US06","California","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","38803",
"2015","0400000US06","California","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","38994",
"2016","0400000US06","California","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","39296",
"2017","0400000US06","California","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","39358",
"2018","0400000US06","California","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","39462",
"2019","0400000US06","California","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","39510",
"2020","0400000US06","California","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","39500",
"2021","0400000US06","California","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","39143",
"2022","0400000US06","California","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","39041",
"2012","0400000US06","California","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","6203034",
"2013","0400000US06","California","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","6208733",
"2014","0400000US06","California","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","6224685",
"2015","0400000US06","California","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","6226523",
"2016","0400000US06","California","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","6217013",
"2017","0400000US06","California","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","6194647",
"2018","0400000US06","California","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","6211615",
"2019","0400000US06","California","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","5692792",
"2020","0400000US06","California","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","5641492",
"2021","0400000US06","California","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","5462053",
"2022","0400000US06","California","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","5348692",
"2012","0400000US06","California","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","1683204",
"2013","0400000US06","California","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","1856614",
"2014","0400000US06","California","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","1849505",
"2015","0400000US06","California","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","1977924",
"2016","0400000US06","California","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","2133664",
"2017","0400000US06","California","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","2263890",
"2018","0400000US06","California","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","2383131",
"2019","0400000US06","California","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","2514503",
"2020","0400000US06","California","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","2544235",
"2021","0400000US06","California","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","2790524",
"2022","0400000US06","California","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","3013677",
"2012","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","5188",
"2013","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","5272",
"2014","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","5356",
"2015","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","5449",
"2016","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","5530",
"2017","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","5612",
"2018","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","5691",
"2019","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","5760",
"2020","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","5784",
"2021","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","5811",
"2022","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","5841",
"2012","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","843120",
"2013","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","851063",
"2014","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","865231",
